timestamp,action,distance_m,obstacles,avoidances,avg_fps,obstacle_duration
2026-03-28T01:55:35.897291,LEFT,1.66,276,272,11.5,8.1
2026-03-28T01:56:05.899683,LEFT,9.41,419,404,10.0,2.5
2026-03-28T01:56:30.731187,LEFT,9.41,673,658,10.0,7.6
